key,year
Ringer Om Natten|Christopher,2026
Ham Med Guitaren|Christopher,2026
Tage wie diese|Die Toten Hosen,2012
IDGAF|Ikkimel,2025
"Monet|Alligatoah, Sido",2020
452WSSzuklpg0w4RKTlkvn,1974
4J7EocpVLUZSU3m6E7O6re,1976
2kYxsDAJnitX0X5NKqRAGL,1982
3hT1h7FiFFxoLqiTMJM7Ew,2004
7DfHmCnSLftVHPvtFPFsmA,1976
7FrsdB6c1buzMfSndN4UQL,1984
6gQAyT7B7cYGTRBOiFdQUS,2012
4UXJPa2Bzja3kgEEfQXDHi,2016
2k4fZECdWwAiB14RAfXbxO,2021
2e6JU6XBm7w0FnHyQqrqMs,2023
0gyU9InhpKAg39XxTkO6qZ,2023
3gOPaJJHoZiTi24moIyJyZ,2023
0Uu97LePX45iEAVb6YKfBm,2023
33vZRjxJScapmRShRJq8I0,2022
3WhgJmmb8Dv0Xaw2XTVwFM,2024
3c12xbWbu6Xv3oeoV2upg6,1975
1vrd6UOGamcKNGnSHJQlSt,2008
"Marmor, Stein und Eisen bricht|Drafi Deutscher",1965
Waterloo|ABBA,1974
Dancing Queen|ABBA,1976
Daddy Cool|Boney M.,1976
Rasputin|Boney M.,1978
5ubvP9oKmxLUVq506fgLhk,1977
Take On Me|a-ha,1985
"You're My Heart, You're My Soul|Modern Talking",1984
Rock Me Amadeus|Falco,1985
Last Christmas|Wham!,1984
Barbie Girl|Aqua,1997
1di1BEgJYzPvXUuinsYJGP,1997
07PFC8QHsm3mql76jDucwH,2001
3d0WouFnFmr0K3kjeza3fF,2006
Bad Romance|Lady Gaga,2009
bad guy|Billie Eilish,2019
6H1j5PiyxgyWTnDmabW0Ng,2026
3Mf5lroDtECoRWVUWnHCo8,2014
